名称,区域,板块,房型,朝向,面积(平米),价格(元/月),单位面积价格(元/平米/月)
七星园,石景山,鲁谷,2室2厅,北,46.5,5700,122
杨庄小区,石景山,杨庄,2室1厅,南,60.5,5560,91
八角中里,石景山,八角,2室1厅,东南,30.5,4480,146
玉泉路甲65号院,石景山,鲁谷,2室1厅,南,34.5,6557,190
鼎城世家,石景山,杨庄,3室2厅,东南,80.0,9500,118
鲁谷路74号院,石景山,鲁谷,2室1厅,南,33.5,6360,189
永乐西区,石景山,鲁谷,1室1厅,东/西,22.0,4000,181
远洋沁山水上品,石景山,鲁谷,2室1厅,西南,43.0,8760,203
古城路小区,石景山,古城,2室1厅,南/北,67.0,4200,62
华信大厦宿舍,石景山,杨庄,1室1厅,南,59.5,4730,79
京原路5号院,石景山,八角,1室1厅,南/北,49.5,3800,76
青年公寓,石景山,苹果园,1室1厅,南,21.5,4490,208
中海长安雅苑,石景山,古城,2室1厅,南,79.5,6300,79
中海天钻,石景山,石景山其它,3室1厅,南,81.5,10460,128
八角路小区,石景山,八角,1室1厅,南,58.0,2800,48
雍景四季,石景山,苹果园,2室1厅,东,54.0,6900,127
古城西路,石景山,古城,2室1厅,南/北,38.5,4500,116
西井小区一区,石景山,苹果园,2室1厅,南,28.0,4960,177
古城路小区,石景山,古城,1室1厅,,43.0,4500,104
诗景长安,石景山,鲁谷,2室1厅,南,35.0,6000,171
海棠苑,石景山,古城,2室2厅,南/北,45.0,6500,144
金顶阳光,石景山,苹果园,2室1厅,南,45.0,6203,137
高井,石景山,石景山其它,2室1厅,南/北,32.5,3500,107
启迪香山,石景山,苹果园,2房间,北,19.0,5660,297
杨庄中区,石景山,杨庄,2室1厅,南/西,45.0,5200,115
海特花园西区,石景山,苹果园,2室1厅,南,54.0,5785,107
金顶街三区,石景山,苹果园,2室1厅,南,50.0,5600,112
模式口西里,石景山,苹果园,2室1厅,南,27.5,4630,168
金顶阳光,石景山,苹果园,2室1厅,南/北,83.5,6200,74
八场宿舍,石景山,鲁谷,2室1厅,南,49.5,5430,109
龙旗广场,昌平,回龙观,2室1厅,南/北,46.0,6600,143
北街家园六区,昌平,沙河,1室1厅,西,40.0,3360,84
望都新地二期,昌平,北七家,2室1厅,南/北,44.5,4000,89
魔方公寓,,,1室1厅,,15.0,3598,239
天通苑北一区,昌平,天通苑,2室1厅,南,53.5,6200,115
城家公寓,,,,,17.0,2900,170
望都新地,昌平,北七家,2室1厅,,55.0,4300,78
城家公寓,,,,,15.5,2950,190
华润理想国,昌平,北七家,3室1厅,南/北,80.5,5000,62
城家公寓,,,2室0厅,,27.0,4950,183
王府花园,昌平,北七家,3室3厅,南/北,75.0,9200,122
城家公寓,,,,,22.0,4850,220
金桥国际,东城,广渠门,1室1厅,北,42.0,6600,157
新奥洋房,东城,永定门,1室1厅,西,21.0,5616,267
藏经馆胡同15号院,东城,东直门,3室1厅,南,43.0,9000,209
融寓,,,,,13.5,3650,270
左安浦园,东城,左安门,1室0厅,北,38.5,4800,124
