名称,区域,板块,房型,朝向,面积(平米),价格(元/月),单位面积价格(元/平米/月)
华标荔苑,从化,太平镇,1室1厅,东北,24.0,1200,50
维也纳酒店,,,1室1厅,,12.5,6000,480
大城云山,从化,太平镇,3室2厅,南,46.0,1500,32
维也纳酒店,,,1室1厅,,12.5,6000,480
托斯卡纳(从化区),从化,新城片区,3室2厅,南,45.0,1900,42
维也纳酒店,,,1室1厅,,17.5,6600,377
紫泉翠荔嘉园,从化,太平镇,2室2厅,西南,62.5,1600,25
维也纳酒店,,,1室1厅,,17.5,6600,377
紫泉翠荔嘉园,从化,太平镇,2室2厅,西南,40.5,1400,34
华标荔苑,从化,太平镇,2室2厅,东南,42.5,1400,32
时代印象,从化,太平镇,3室2厅,北,39.0,2200,56
时代印象,从化,太平镇,3室2厅,东北,44.0,2200,50
云星钱隆天誉,从化,太平镇,4室2厅,东南,66.5,2800,42
君源御湖城,从化,江浦街,3室2厅,南,52.0,1200,23
新光百德广场,从化,太平镇,1室0厅,南,49.5,1200,24
时代印象,从化,太平镇,3室1厅,南/北,44.0,2500,56
名城御景绿洲,从化,江浦街,5室2厅,南,87.0,2600,29
东方夏湾拿,从化,太平镇,5室2厅,南,160.0,5800,36
华标荔苑,从化,太平镇,2室2厅,东南,44.5,1800,40
方圆泉溪月岛,从化,温泉镇,1室2厅,南/北,67.5,1600,23
大城云山,从化,太平镇,2室1厅,东北,50.5,1500,29
逸泉山庄,从化,赤草,3室2厅,南,55.0,1500,27
景业荔都,从化,江浦街,2室2厅,北,44.5,1100,24
景业荔都,从化,江浦街,3室2厅,南,49.5,1100,22
合景花䕕四季,从化,鳌头镇,3室2厅,东南,40.0,2100,52
紫泉翠荔嘉园,从化,太平镇,3室2厅,南,85.5,1500,17
新光百德广场,从化,太平镇,1室1厅,西北,71.0,1500,21
珠江国际城,从化,神岗镇,3室2厅,东北,44.5,1200,26
智汇国际,从化,太平镇,1室1厅,,32.5,1400,43
人盛巴厘天地,从化,神岗镇,2室2厅,南/北,63.0,1800,28
大壮名城,黄埔,科学城,3室2厅,北,71.0,5200,73
源林花園,白云,金沙洲,1室1厅,东南,17.5,1000,57
东呈酒店集团,,,,,15.0,7299,486
敏捷动漫国际,番禺,汉溪长隆,5室2厅,北,51.0,4800,94
博雅轩轻奢复式公寓,,,1室1厅,,9.0,1300,144
金山谷八期,番禺,金山谷,2室1厅,南,29.0,3300,113
海景阁,海珠,滨江中,3室2厅,北,54.0,4650,86
江圆公寓,,,1室1厅,,15.0,1900,126
保利百合花园二期,海珠,江燕路,3室1厅,东南,46.5,5200,111
江圆公寓,,,,,10.0,1300,130
绿地越秀海玥,海珠,工业大道中,3室1厅,东南,26.0,2800,107
泊雅湾,海珠,滨江东,4居室,北卧,16.0,2446,152
丽景花苑,海珠,磨碟沙,2室1厅,北,32.0,3800,118
